0.75,-213.605,-195.727
1.25,-158.511,-148.162
1.751,-122.227,-119.899
2.252,-95.145,-95.176
2.752,-73.526,-73.239
3.253,-55.527,-44.328
3.755,-40.064,-27.216
4.256,-26.568,-19.305
4.85,-12.502,-15.356
5.351,-1.916,3.444
5.851,7.718,12.832
6.352,16.564,15.955
6.852,24.737,23.472
7.353,32.338,32.315
7.854,39.435,40.881
8.355,46.091,46.295
8.857,52.383,53.064
9.358,58.308,56.632
9.859,63.926,67.366
10.36,69.262,68.052
10.861,74.35,75.429
11.361,79.204,72.586
11.862,83.849,82.966
12.363,88.302,87.118
