0.693,-37.153,-20.831
1.194,-29.069,-18.566
1.72,-23.633,-17.137
2.221,-19.835,-16.931
2.724,-16.801,-17.054
3.225,-14.29,-14.474
3.726,-12.143,-13.094
4.227,-10.269,-10.68
4.727,-8.605,-9.883
5.229,-7.107,-9.777
5.736,-5.731,-8.203
6.236,-4.487,-5.563
6.737,-3.339,-3.586
7.238,-2.273,-3.117
7.738,-1.278,-2.097
8.239,-0.347,-1.42
8.739,0.531,-1.866
9.24,1.359,-1.597
9.741,2.144,0.289
10.242,2.889,2.129
10.742,3.598,3.54
11.243,4.275,3.886
11.743,4.923,3.654
12.244,5.543,4.111
12.745,6.14,4.937
13.246,6.713,5.677
13.746,7.264,7.786
14.247,7.796,8.191
14.748,8.31,7.971
15.249,8.806,9.154
15.749,9.286,9.791
16.25,9.752,11.089
16.751,10.203,12.231
17.252,10.641,12.66
17.752,11.067,13.763
18.253,11.48,14.114
18.753,11.882,13.866
19.254,12.274,12.706
19.758,12.658,14.331
