0.708,-0.608,-8.66
1.209,-0.295,-6.11
1.71,-0.093,-4.398
2.211,0.057,-3.724
2.711,0.177,-2.531
3.212,0.276,-1.864
3.725,0.362,-1.501
4.227,0.436,-1.75
4.727,0.502,-1.729
5.228,0.56,-2.164
5.729,0.614,-1.694
6.23,0.663,-1.362
6.731,0.708,-0.448
7.232,0.75,-0.232
7.736,0.79,-1.376
8.237,0.826,-0.841
8.738,0.861,-0.801
9.239,0.893,-0.12
9.739,0.924,0.406
10.24,0.953,0.687
10.756,0.982,0.45
11.257,1.009,1.296
11.774,1.035,0.864
12.275,1.059,1.468
12.778,1.083,1.096
13.279,1.105,1.368
13.78,1.127,1.15
14.28,1.148,1.257
14.781,1.168,1.405
15.282,1.187,1.217
15.783,1.206,0.638
16.283,1.225,1.287
16.784,1.242,2.67
17.285,1.259,2.426
17.795,1.276,2.154
18.297,1.293,1.915
18.798,1.308,1.215
19.299,1.324,1.145
19.799,1.339,0.78
20.3,1.353,1.25
20.801,1.368,1.368
21.301,1.382,1.847
21.802,1.395,1.508
22.302,1.408,1.573
22.803,1.421,1.691
23.304,1.434,1.15
23.805,1.446,1.191
24.306,1.459,1.198
24.872,1.472,1.636
