0.778,-1.628,1.104
1.279,-1.406,0.93
1.781,-1.259,1.137
2.282,-1.148,0.711
2.783,-1.06,0.729
3.284,-0.986,0.283
3.784,-0.922,0.628
4.286,-0.867,0.133
4.786,-0.818,0.19
5.287,-0.773,0.447
5.789,-0.733,0.391
6.29,-0.696,-0.386
6.791,-0.662,-0.696
7.291,-0.63,-0.686
7.795,-0.6,-0.657
8.296,-0.573,-0.705
8.797,-0.546,-0.045
9.298,-0.522,-0.039
9.798,-0.498,0.032
10.299,-0.476,-0.587
10.8,-0.455,-0.523
11.301,-0.435,-0.434
11.802,-0.415,-0.45
12.302,-0.397,-0.416
12.803,-0.379,-0.359
13.303,-0.362,-0.377
13.804,-0.346,-0.358
